rap;pt;cent;Model_Bkg_PP;N_Bkg_PP;lambda1_Bkg_PP;lambda2_Bkg_PP;lambda3_Bkg_PP;lambda4_Bkg_PP;lambda5_Bkg_PP;lambda6_Bkg_PP
0.0-2.4;6.5-50.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;0-5;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;5-10;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;10-15;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;15-20;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;20-25;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;25-30;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;30-35;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;35-40;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;40-45;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;45-50;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;50-60;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;60-70;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-50.0;70-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-7.5;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;7.5-8.5;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;8.5-9.5;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;9.5-11.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;11.0-13.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;13.0-15.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;15.0-20.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;20.0-30.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;30.0-50.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
